Observation_ID,Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,Source_File,Previously_Obs,Month,Season,Temperature_Outlier,Humidity_Outlier
1,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,83803.0,EATO,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
2,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,False,Unknown,White-breasted Nuthatch,Sitta carolinensis,178775.0,90935.0,WBNU,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
3,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,False,Unknown,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,84865.0,RBWO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
4,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,False,Unknown,Orchard Oriole,Icterus spurius,179064.0,93634.0,OROR,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
5,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,<= 50 Meters,False,Unknown,Northern Mockingbird,Mimus polyglottos,178620.0,88394.0,NOMO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
6,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,False,Unknown,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
7,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Unknown,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
8,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Unknown,Horned Lark,Eremophila alpestris,554256.0,264079.0,HOLA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
9,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Unknown,Mourning Dove,Zenaida macroura,177125.0,82737.0,MODO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
10,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
11,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Unknown,Carolina Wren,Thryothorus ludovicianus,178581.0,88350.0,CARW,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
12,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,False,Unknown,Carolina Chickadee,Poecile carolinensis,554383.0,265876.0,CACH,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
13,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Wood-Pewee,Contopus virens,178359.0,85846.0,EAWP,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
14,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,False,Unknown,American Crow,Corvus brachyrhynchos,179731.0,87106.0,AMCR,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
15,ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,06:19:00,06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Indigo Bunting,Passerina cyanea,179150.0,94257.0,INBU,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Bird_Monitoring_Data_FOREST.XLSX,,5,Spring,False,False
